"Fiscal Year","Budget Type","Dept ID","Department","APU","IPU","Appropriation","Fund","Amount"
"2016","EXP","010101","Legislative","General Assembly, House","General Assembly, House","Personnel Costs","GF","5,484.6"
"2016","EXP","010101","Legislative","General Assembly, House","General Assembly, House","Travel","GF","44.8"
"2016","EXP","010101","Legislative","General Assembly, House","General Assembly, House","Contractual Services","GF","472.6"
"2016","EXP","010101","Legislative","General Assembly, House","General Assembly, House","Supplies and Materials","GF","40.0"
"2016","EXP","010101","Legislative","General Assembly, House","General Assembly, House","Expenses - House Members","GF","363.0"
"2016","EXP","010101","Legislative","General Assembly, House","General Assembly, House","House Committee Expenses","GF","15.0"
"2016","EXP","010101","Legislative","General Assembly, House","General Assembly, House","Mileage - Legislative","GF","70.0"
"2016","EXP","010201","Legislative","General Assembly, Senate","General Assembly, Senate","Personnel Costs","GF","3,717.2"
"2016","EXP","010201","Legislative","General Assembly, Senate","General Assembly, Senate","Travel","GF","22.0"
"2016","EXP","010201","Legislative","General Assembly, Senate","General Assembly, Senate","Contractual Services","GF","177.3"
"2016","EXP","010201","Legislative","General Assembly, Senate","General Assembly, Senate","Supplies and Materials","GF","50.0"
"2016","EXP","010201","Legislative","General Assembly, Senate","General Assembly, Senate","Capital Outlay","GF","20.0"
"2016","EXP","010201","Legislative","General Assembly, Senate","General Assembly, Senate","Expenses - Senate Members","GF","185.7"
"2016","EXP","010201","Legislative","General Assembly, Senate","General Assembly, Senate","Mileage - Legislative","GF","42.3"
"2016","EXP","010201","Legislative","General Assembly, Senate","General Assembly, Senate","Senate Committee Expenses","GF","35.0"
"2016","EXP","010501","Legislative","Commission on Interstate Cooperation","Commission on Interstate Cooperation","Travel","GF","10.0"
"2016","EXP","010501","Legislative","Commission on Interstate Cooperation","Commission on Interstate Cooperation","Contractual Services","GF","40.0"
"2016","EXP","010501","Legislative","Commission on Interstate Cooperation","Commission on Interstate Cooperation","Supplies and Materials","GF","0.5"
